epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81125,1.80368,5.06027,4.17609,2.3216,0.00633,1,0.12437,0.04925,0.00633,1,0.12437,0.02745,1.31997,3.75693,4.29243,2.69714,0,0,0
2,6.41317,1.83452,3.98,3.98502,2.14129,0.00633,1,0.11056,0.05417,0.00633,1,0.11056,0.02607,1.30736,3.75161,4.27565,2.68544,1.50197e-05,1.50197e-05,1.50197e-05
3,6.94181,1.70788,4.64016,4.34482,2.15708,0.00641,1,0.11056,0.04621,0.00641,1,0.11056,0.01544,1.35121,3.76307,4.18594,2.69761,2.67387e-05,2.67387e-05,2.67387e-05
4,7.47,1.77003,3.9431,4.20574,2.15251,0.00633,1,0.11056,0.04753,0.00633,1,0.11056,0.01663,1.43838,3.74678,4.10015,2.7249,3.5157e-05,3.5157e-05,3.5157e-05
5,7.92653,1.88193,3.72863,4.25452,1.87858,0.00621,1,0.11056,0.04374,0.00621,1,0.11056,0.01736,1.52343,3.70585,4.05849,2.72893,4.02747e-05,4.02747e-05,4.02747e-05
6,8.39991,1.27044,3.91741,3.85301,1.79777,0.00633,1,0.0995,0.04577,0.00633,1,0.0995,0.02786,1.59112,3.673,3.93238,2.76273,4.20917e-05,4.20917e-05,4.20917e-05
7,8.86868,1.78832,3.46452,4.01211,2.28518,0.00641,1,0.07107,0.03517,0.00641,1,0.06219,0.01981,1.61085,3.63925,3.95289,2.76906,4.06081e-05,4.06081e-05,4.06081e-05
8,9.33636,1.41635,4.17446,3.84736,2.29572,0.00641,1,0.06633,0.02845,0.00641,1,0.05237,0.01711,1.62654,3.61291,4.00614,2.77292,3.58238e-05,3.58238e-05,3.58238e-05
9,9.80171,1.16366,3.02833,3.74215,1.8504,0.00629,1,0.08292,0.03068,0.00629,1,0.05237,0.01734,1.63162,3.58499,4.03077,2.76592,2.77389e-05,2.77389e-05,2.77389e-05
10,10.2682,1.43028,3.63243,3.74636,1.83746,0.00641,1,0.08292,0.0313,0.00641,1,0.05237,0.01758,1.63027,3.57522,4.03639,2.75618,1.63533e-05,1.63533e-05,1.63533e-05
